"id","source","target"
"13ea94585ee04f4609ed6d4f1d3a8fd8b7b034c5","This year we are launching the YouthSpeak Survey 2019. This years survey gives young people a space to voice their opinions on key challenges, hopes, and ambitions, so the world we all want to see in 2030 can be co-created together with youth.","This year we are launching the YouthSpeak Survey 2019. This years survey gives young people a space to voice their opinions on key challenges, hopes, and ambitions, so the world we all want to see in 2030 can be co-created together with youth."
"eada01e91365a7fe2e3ebbd31c1c8200957fcd73","YouthSpeak Forum powered by AIESEC is an event that empowers young people to understand how they can contribute to the SDGs through short and powerful talks and sparks interest in self-development through skills-building workshops.","YouthSpeak Forum powered by AIESEC is an event that empowers young people to understand how they can contribute to the SDGs through short and powerful talks and sparks interest in self-development through skills-building workshops."
"9b58cfe925d45fe99029142f88560be3de9511d9","Participate at YouthSpeak Forum in your city or university.","Participate at YouthSpeak Forum in your city or university."
"edfb22f5b7fe92310ee6bef902aa3ea50949102f","Participate in various power talks and workshops, learn about pressing global and local issues. Engage with fellow attendees and identify potential solutions together.","Participate in various power talks and workshops, learn about pressing global and local issues. Engage with fellow attendees and identify potential solutions together."
"c5218030cefa1dd12750b328dc8154d749ea05d5","My Applications","My Applications"
"deb69e678a810bdecbeb31c525f21d42d1af0794","You haven’t applied for any opportunities yet.","You haven’t applied for any opportunities yet."
"f75d533eaae44eccf1b2603a25646c11b4853110","Start looking for an opportunity","Start looking for an opportunity"
"7e892ba15f2c6c17e83510e273b3e10fc32ea016","Search","Search"
"aad343b5e21ba65598a48a0bf514f4cb36a0036f","Est. process time is","Est. process time is"
"721c5049f844116adbebd35d077c25b851549ba1","Updates","Updates"
"452ef1b96854fe05618303ee601f8fed3b866c9f","Resources","Resources"
"95a2e12582cb2c08c3b22735c3084d1f1533049d","This company requires you to apply through their portal to complete your application.                    If you have already completed it, hold on until we get in touch with you.","This company requires you to apply through their portal to complete your application.                    If you have already completed it, hold on until we get in touch with you."
"099d22652145e01ec68bc57ce995d48ba367c971","Go to portal","Go to portal"
"a72705f75bbbd3182e1f964d370c81c8c9ebb38c","Acceptance Note","Acceptance Note"
"19920b8f6be14f8924e6b545313482e958a5838a","Initial LDA Results","Initial LDA Results"
"85d4be0e7b8403ed623cb67e43063903fbe870c7","Standards Survey","Standards Survey"
"9e37e0d06148c7708e88b4a1eb412babbe1a4afc","Certificate","Certificate"
"b50988184cc496b945add2d11552b5ecfbbbc9a8","Final LDA Results","Final LDA Results"
"8434d4a28744d7df82cd39ef8da4266fcbc40064","Start","Start"
"b1bf5b6a06522ad62ed14c1fb857bc34b7b38ac0","Take the Assessment","Take the Assessment"
"4afe31926e62fc7ec57318632befdc12955b7ce5","Application Step","Application Step"
"e88a0db75b5f6b9a5e08bd36deabbccb5622782b","Congratulations on completing your experience!","Congratulations on completing your experience!"
"bd2288956223cc75b791c389d3461624f8c7b40a","Get your certificate for successfully completing your AIESEC Leadership Development Experience.          You can access this certificate whenever you need from resources in the application details.","Get your certificate for successfully completing your AIESEC Leadership Development Experience.          You can access this certificate whenever you need from resources in the application details."
"1fef546f3c2bd4969940f80319334d8eec9f777d","Yes, Download Certificate","Yes, Download Certificate"
"9012180345457a80a52622d9acc9f5d52c12d2ac","No, Edit Name","No, Edit Name"
"20bead7f3b48de2cd9b3dd5de3a13094013318f4","Please verify your name before we generate your certificate.","Please verify your name before we generate your certificate."
"5b3075e8dc3f3921ec316b0bd83b6d14a06c1a4f","Save changes","Save changes"
"e859df71e5b52307188a147567cda630a3d46679","Cancel","Cancel"
"0498dc7ae90d8513e065d56ec3ee30961046aaca","Download Certificate","Download Certificate"
"ca4abffa10a9a2719f39cd815131548b12acb96b","Get your certificate for successfully completing your AIESEC Leadership Development Experience.        You can access this certificate whenever you need from resources in the application details.","Get your certificate for successfully completing your AIESEC Leadership Development Experience.        You can access this certificate whenever you need from resources in the application details."
"e1248dc2b149994969a9c4ec0fe2b80415085cf7","Your certificate will sent to your email.","Your certificate will sent to your email."
"9ea3d3c2818646de9468fd9162cd2caa09d92481","Flight Details","Flight Details"
"ee57b34fb4510248b2a7891884ad574b6e65fd8f","Yes, I have.","Yes, I have."
"86331dbb94cd23b4dd12a8e9987d319fa8107bc0","Onward Arrival Airport","Onward Arrival Airport"
"4cd8ca118c7cc4ec9e617f93320e9e4918bb9fd4","Airport (code & name)","Airport (code & name)"
"853af7d1f6656baff6d5fde1f4f6057a42a78936","Date & Time","Date & Time"
"8b696638019b0bff98f44fee4697b6bfee919996","Return date cannot be before Onward date!","Return date cannot be before Onward date!"
"d7a85cc8da7905efeab2e036831c17ac87e62900","Return Departure Airport","Return Departure Airport"
"4f8797c41b807be5f9e3a130bef4fad7cdac3e68","(If you haven’t booked your return tickets yet, you can fill this in later.)","(If you haven’t booked your return tickets yet, you can fill this in later.)"
"71c77bb8cecdf11ec3eead24dd1ba506573fa9cd","Submit","Submit"
"2c03bf56f06b511f3467086c09ebd3c4953e5b07","No, I have not.","No, I have not."
"3eb7f19a069d1a45f089eb9c541fbe4914b941be","AIRPORT","AIRPORT"
"fd805eab83b7f5c0f46c939986cd3e5be72e9385","DATE","DATE"
"df9ebc2b5804df61020c9fb8c625bbbd647e0298","TIME","TIME"
"62c9fcfd850eb74805a57221fa5db3a5252d8cb4","Feedback Survey","Feedback Survey"
"dccc035628d800f0b268a09bd0da7b13caf39945","Through Global Volunteer opportunities, AIESEC is working towards achieving the United Nations Sustainable Development Goals (SDGs). These Goals aim to end extreme poverty, inequality and climate change by 2030.","Through Global Volunteer opportunities, AIESEC is working towards achieving the United Nations Sustainable Development Goals (SDGs). These Goals aim to end extreme poverty, inequality and climate change by 2030."
"6ebba0b92d00dc0d39d079e63e0016bb932d2930","We want to make sure the positive impact of each of our volunteers is recorded. This will allow us to better understand outcomes of our projects and report on their impact.","We want to make sure the positive impact of each of our volunteers is recorded. This will allow us to better understand outcomes of our projects and report on their impact."
"4dff360839f1b997fcf97841caf5ef5be4d38ab5","Please fill in fields below for each indicator based on the results of your work in the project.","Please fill in fields below for each indicator based on the results of your work in the project."
"90befe22535a52e2f703cb0d1f3c8c6f9c88cf9d","Required. Please fill in all the fields.","Required. Please fill in all the fields."
"41bcea7b08bbd7328312f727ae01b7f074da6233","Proceed","Proceed"
"7c3e5667d16c7fa3e19bab6004174c1cf56e25d2","Would you like to be a promoter of AIESEC?","Would you like to be a promoter of AIESEC?"
"3f4a7634769edb80df9bd98454e9053eb3b9e0f4","Share a testimonial on our website.","Share a testimonial on our website."
"dd7eb49c0e8fa8c9da07335c1db7d1dcb7b23daf","If you would like to feature your exchange story on our blog, please fill","If you would like to feature your exchange story on our blog, please fill"
"356a816f6e401934709fa0a507db09081a2944ef","this                  form","this                  form"
"cb6095ce55dcd8f7fc0ef007f75cad8389fc66d0","and we will be in touch.","and we will be in touch."
"6374f795b6026bcccfe6970310c77f0d403bb1cd","Thank you for your Feedback","Thank you for your Feedback"
"a7868521fbf6d9fb7b97f910c3f060bbd995a118","Okay","Okay"
"46ddf4fa76e5c1e67a5c2a617331d6272a8f4dbe","Total Amount:","Total Amount:"
"7c35c5c1cc25faef6d211725a6d38bcd4cf1d30a","Currency:","Currency:"
"a534791564b982d51d863c3cc957569ae9116905","Pay Online","Pay Online"
"1ee18aebcc5453f861041b1d5ad7bb27f33dc29f","We highly value your experience and unique point of view. To help us improve, we would like to ask you a few        questions. The survey will take approximately 5 minutes for you to complete. Once completed, an AIESEC         experience         certificate will be generated for you and will be available for download below. We really appreciate your         feedback         and time!","We highly value your experience and unique point of view. To help us improve, we would like to ask you a few        questions. The survey will take approximately 5 minutes for you to complete. Once completed, an AIESEC         experience         certificate will be generated for you and will be available for download below. We really appreciate your         feedback         and time!"
"35e659b7b40d2866bff6491d7b92cdbbe5c0e175","Take the survey","Take the survey"
"ea35c991a4b703b1d0559be8a04a7cd6f764a6ed","What do you say?","What do you say?"
"21ca684b57ba607da7086d98491beafd6a2a08f1","Ok, let's go!","Ok, let's go!"
"019c235eb60021addf32b8321741a133902f5e63","Select the earliest date you are available to go on exchange.","Select the earliest date you are available to go on exchange."
"c61628616ef13107a87b0717eff486b89b62cd51","Select the number of weeks you are available from your start date.","Select the number of weeks you are available from your start date."
"860c1a840508514f19313e93ea3e991fd4f53d3f","6-8 weeks","6-8 weeks"
"a6667dbf7bdb28f6a67ed6a8c2e559b58fe5fbd7","6-12 weeks","6-12 weeks"
"d52c0a8a0c655029465057140c45b228e677ffd4","12-72 weeks","12-72 weeks"
"c149ff003a5bfe36cf19d33470b0168439ba12e9","I don't mind duration","I don't mind duration"
"cc88087fb423b1ec7efb29cd706feb91092bd4fd","Keep going","Keep going"
"98ae65ebba6c43c5cda8bdbd6f03e1daa0595af1","Recommended","Recommended"
"9441d4d1fe0389a864a842b681b98653e8232e6e","Volunteer","Volunteer"
"8b0653973ded9b0e7d9c4eec24d68c4bd3ea90f9","startup","startup"
"c8a561306692b2586037e8f66fbefd53fa67ef01","Our Global Entrepreneur internship opportunities will be perfect for you.","Our Global Entrepreneur internship opportunities will be perfect for you."
"6dbdf45a43dea309fdbce6f292a14b49eb332836","corporate","corporate"
"9e9ca1da40a9805f3a8ee9b4a2f0f2cd75c147a0","Our Global Talent internship opportunities will be perfect for you.","Our Global Talent internship opportunities will be perfect for you."
"bf4c8d98eea9424348ef40942ca9954e3ad03574","AIESEC has partnered with the United Nations to align all volunteer opportunities to a Sustainable Development Goals (SDGs). You can now make a global impact through your experience with our opportunities.","AIESEC has partnered with the United Nations to align all volunteer opportunities to a Sustainable Development Goals (SDGs). You can now make a global impact through your experience with our opportunities."
"479f1b29b188cf4a898d0cf828064507be3c3efb","Select one or more of the following SDGs you would like to contribute towards.","Select one or more of the following SDGs you would like to contribute towards."
"bdf5bc9d2dc28b796daf5eb88e4f527a8cd09a79","No Preference","No Preference"
"65d2a41dbe1f7ea38131abafdf653ebd12319a9a","Done, next one!","Done, next one!"
"ce932a5d0253dd04760bef21687b3b5fdba956a7","Based on your choices we have following field of work to choose from.","Based on your choices we have following field of work to choose from."
"0e80d7ecc3df8ea25ca941698fdac3ddf9881d26","Select one or more of the field of work you wish to opt for.","Select one or more of the field of work you wish to opt for."
"105aa21bd83d953d9d4aa35b9cc5066af6167e79","Based on your choices and your current location, we have a list of possible countries for your first AIESEC experience.","Based on your choices and your current location, we have a list of possible countries for your first AIESEC experience."
"234e214e1ee60c711d62eddae020af164b808230","Select one or more of the countries you wish to go.","Select one or more of the countries you wish to go."
"29d04c8799a2fc0a00e5afec74e6839e9d8cd96c","Here are the options you chose, feel free to change them if you wish.","Here are the options you chose, feel free to change them if you wish."
"fe788dd32538034a1afe978e956f3d2403e2df83","Interest","Interest"
"024cdb2814b0cb3f4ced148f1a0b9854447cb214","Change","Change"
"35bd52c2e16cbd42a7c9808105f337e8d5518df8","Awesome, let’s see them!","Awesome, let’s see them!"
"f4d99f8dbfaacd022c33230a1b57f1c151f0761f","Are you sure you want to skip?","Are you sure you want to skip?"
"2cb7e729ca13ed490f3db2e1c44f175d0c98c12e","Yes, Skip","Yes, Skip"
"c351616c72b2aefd8588f82d6df8f6edbefe2e72","Oh no! We can't seem to find this page.","Oh no! We can't seem to find this page."
"fe98d75649b77b69c58ffa40494a7c60f1a15430","Let's help you find your way back home. If you still have questions     you can chat with us by clicking on the blue chat bubble at the bottom right corner of the screen.","Let's help you find your way back home. If you still have questions     you can chat with us by clicking on the blue chat bubble at the bottom right corner of the screen."
"341cb8d15e153d729e77c502ea9d60c32e724da9","Go home","Go home"
